Fullmetal Alchemist: Brotherhood	TV (64 eps)	Apr 2009 - Jul 2010	1,489,572 members	9.24
Shingeki no Kyojin Season 3 Part 2	TV (10 eps)	Apr 2019 - Jul 2019	315,443 members	9.17
Steins;Gate	TV (24 eps)	Apr 2011 - Sep 2011	1,238,875 members	9.13
Hunter x Hunter (2011)	TV (148 eps)	Oct 2011 - Sep 2014	946,282 members	9.12
Kimi no Na wa.	Movie (1 eps)	Aug 2016 - Aug 2016	1,021,742 members	9.12
Gintama°	TV (51 eps)	Apr 2015 - Mar 2016	259,161 members	9.11
Ginga Eiyuu Densetsu	OVA (110 eps)	Jan 1988 - Mar 1997	161,398 members	9.10
Gintama'	TV (51 eps)	Apr 2011 - Mar 2012	259,831 members	9.09
Gintama': Enchousen	TV (13 eps)	Oct 2012 - Mar 2013	154,485 members	9.05
3-gatsu no Lion 2nd Season	TV (22 eps)	Oct 2017 - Mar 2018	145,524 members	9.04
Koe no Katachi	Movie (1 eps)	Sep 2016 - Sep 2016	740,252 members	9.02
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare	Movie (1 eps)	Jul 2013 - Jul 2013	127,057 members	9.00
Gintama.	TV (12 eps)	Jan 2017 - Mar 2017	126,077 members	9.00
Clannad: After Story	TV (24 eps)	Oct 2008 - Mar 2009	702,255 members	8.99
Gintama	TV (201 eps)	Apr 2006 - Mar 2010	544,449 members	8.99
Owarimonogatari 2nd Season	TV (7 eps)	Aug 2017 - Aug 2017	170,352 members	8.98
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou	TV (10 eps)	Oct 2016 - Dec 2016	347,388 members	8.97
Mob Psycho 100 II	TV (13 eps)	Jan 2019 - Apr 2019	352,071 members	8.95
Code Geass: Hangyaku no Lelouch R2	TV (25 eps)	Apr 2008 - Sep 2008	934,045 members	8.94
Sen to Chihiro no Kamikakushi	Movie (1 eps)	Jul 2001 - Jul 2001	851,999 members	8.91
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen	TV (14 eps)	Jul 2018 - Oct 2018	56,179 members	8.86
Kizumonogatari III: Reiketsu-hen	Movie (1 eps)	Jan 2017 - Jan 2017	192,224 members	8.86
Haikyuu!! Second Season	TV (25 eps)	Oct 2015 - Mar 2016	436,660 members	8.85
Made in Abyss	TV (13 eps)	Jul 2017 - Sep 2017	517,681 members	8.85
Shigatsu wa Kimi no Uso	TV (22 eps)	Oct 2014 - Mar 2015	912,768 members	8.85
Tenki no Ko	Movie (1 eps)	Jul 2019 - Jul 2019	54,238 members	8.85
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze	TV (39 eps)	Oct 2018 - Jul 2019	183,061 members	8.83
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen	TV (12 eps)	Jan 2017 - Mar 2017	98,166 members	8.83
Cowboy Bebop	TV (26 eps)	Apr 1998 - Apr 1999	866,444 members	8.82
