name	media type	episode count	dates aired	rating	url
Momoya Norihei Anime CM	Special	120	1958 to 2012	4.27	https://myanimelist.net/anime/37024/Momoya_Norihei_Anime_CM
Tetsuwan Atom	TV	193	1963-01-01 00:00:00	7.23	https://myanimelist.net/anime/2747/Tetsuwan_Atom
Tetsuwan Atom: Uchuu no Yuusha	Movie	1	1964-07-26 00:00:00	6.45	https://myanimelist.net/anime/10342/Tetsuwan_Atom__Uchuu_no_Yuusha
Cyborg 009	Movie	1	1966-07-21 00:00:00	6.21	https://myanimelist.net/anime/6872/Cyborg_009
Alps no Shoujo Heidi Pilot	Special	1	1967	5.53	https://myanimelist.net/anime/10813/Alps_no_Shoujo_Heidi_Pilot
Cyborg 009: Kaijuu Sensou	Movie	1	1967-03-19 00:00:00	6.09	https://myanimelist.net/anime/7290/Cyborg_009__Kaijuu_Sensou
Cyborg 009 (TV)	TV	26	1968-04-05 00:00:00	7.05	https://myanimelist.net/anime/8394/Cyborg_009_TV
Lupin III: Pilot Film	Movie	1	1969	6.48	https://myanimelist.net/anime/5225/Lupin_III__Pilot_Film
Hakushon Daimaou	TV	52	1969-10-05 00:00:00	6.10	https://myanimelist.net/anime/2892/Hakushon_Daimaou
Sazae-san	TV	Unknown	1969-10-05 00:00:00	6.25	https://myanimelist.net/anime/2406/Sazae-san
Lupin III	TV	23	1971-10-24 00:00:00	7.72	https://myanimelist.net/anime/1412/Lupin_III
Devilman	TV	39	1972-07-08 00:00:00	6.46	https://myanimelist.net/anime/2252/Devilman
Kagaku Ninja-tai Gatchaman	TV	105	1972-10-01 00:00:00	7.05	https://myanimelist.net/anime/2389/Kagaku_Ninja-tai_Gatchaman
Mazinger Z	TV	92	1972-12-03 00:00:00	7.41	https://myanimelist.net/anime/2253/Mazinger_Z
Mazinger Z tai Devilman	Movie	1	1973-07-18 00:00:00	6.18	https://myanimelist.net/anime/3898/Mazinger_Z_tai_Devilman
Shinzou Ningen Casshern	TV	35	1973-10-02 00:00:00	6.89	https://myanimelist.net/anime/4810/Shinzou_Ningen_Casshern
Cutey Honey	TV	25	1973-10-13 00:00:00	6.54	https://myanimelist.net/anime/1661/Cutey_Honey
Alps no Shoujo Heidi	TV	52	1974-01-06 00:00:00	7.30	https://myanimelist.net/anime/2225/Alps_no_Shoujo_Heidi
Getter Robo	TV	51	1974-04-04 00:00:00	6.94	https://myanimelist.net/anime/3579/Getter_Robo
Mazinger Z tai Ankoku Daishougun	Movie	1	1974-07-25 00:00:00	6.76	https://myanimelist.net/anime/4406/Mazinger_Z_tai_Ankoku_Daishougun
Great Mazinger	TV	56	1974-09-08 00:00:00	7.25	https://myanimelist.net/anime/5658/Great_Mazinger
Hurricane Polymar	TV	26	1974-10-04 00:00:00	6.66	https://myanimelist.net/anime/4808/Hurricane_Polymar
Great Mazinger tai Getter Robo	Movie	1	1975-03-21 00:00:00	6.31	https://myanimelist.net/anime/4385/Great_Mazinger_tai_Getter_Robo
Getter Robo G	TV	39	1975-05-15 00:00:00	6.72	https://myanimelist.net/anime/4486/Getter_Robo_G
Uchuu no Kishi Tekkaman	TV	26	1975-07-02 00:00:00	6.34	https://myanimelist.net/anime/1458/Uchuu_no_Kishi_Tekkaman
Uchuu Enban Dai-Sensou	Movie	1	1975-07-21 00:00:00	5.79	https://myanimelist.net/anime/5620/Uchuu_Enban_Dai-Sensou
Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu	Movie	1	1975-07-26 00:00:00	6.33	https://myanimelist.net/anime/4386/Great_Mazinger_tai_Getter_Robo_G__Kuuchuu_Daigekitotsu
Time Bokan	TV	61	1975-10-04 00:00:00	6.63	https://myanimelist.net/anime/3915/Time_Bokan
UFO Robo Grendizer	TV	74	1975-10-05 00:00:00	7.64	https://myanimelist.net/anime/1985/UFO_Robo_Grendizer
Koutetsu Jeeg	TV	46	1975-10-05 00:00:00	7.22	https://myanimelist.net/anime/4198/Koutetsu_Jeeg
UFO Robo Grendizer tai Great Mazinger	Movie	1	1976-03-20 00:00:00	6.59	https://myanimelist.net/anime/4387/UFO_Robo_Grendizer_tai_Great_Mazinger
Time Bokan Series: Yatterman	TV	108	1977-01-01 00:00:00	6.74	https://myanimelist.net/anime/3008/Time_Bokan_Series__Yatterman
Lupin III: Part II	TV	155	1977-10-03 00:00:00	7.86	https://myanimelist.net/anime/1425/Lupin_III__Part_II
Kagaku Ninja-tai Gatchaman (Movie)	Movie	1	1978-07-15 00:00:00	6.25	https://myanimelist.net/anime/3153/Kagaku_Ninja-tai_Gatchaman_Movie
Kagaku Ninja-tai Gatchaman II	TV	52	1978-10-01 00:00:00	6.50	https://myanimelist.net/anime/6374/Kagaku_Ninja-tai_Gatchaman_II
Lupin III: Pilot Film (1978)	OVA	1	1978-12-16 00:00:00	6.41	https://myanimelist.net/anime/1428/Lupin_III__Pilot_Film_1978
Lupin III: Lupin vs. Fukusei-ningen	Movie	1	1978-12-16 00:00:00	7.05	https://myanimelist.net/anime/1435/Lupin_III__Lupin_vs_Fukusei-ningen
Time Bokan Series: Zenderman	TV	52	1979-02-03 00:00:00	6.11	https://myanimelist.net/anime/6889/Time_Bokan_Series__Zenderman
Cyborg 009 (1979)	TV	50	1979-03-06 00:00:00	7.25	https://myanimelist.net/anime/4690/Cyborg_009_1979
Alps no Shoujo Heidi (1979)	Movie	1	1979-03-17 00:00:00	6.95	https://myanimelist.net/anime/9547/Alps_no_Shoujo_Heidi_1979
Kagaku Ninja-tai Gatchaman F	TV	48	1979-10-07 00:00:00	6.49	https://myanimelist.net/anime/6375/Kagaku_Ninja-tai_Gatchaman_F
Lupin III: Cagliostro no Shiro	Movie	1	1979-12-15 00:00:00	8.18	https://myanimelist.net/anime/1430/Lupin_III__Cagliostro_no_Shiro
Time Bokan Series: Time Patroltai Otasukeman	TV	53	1980-02-02 00:00:00	6.41	https://myanimelist.net/anime/8553/Time_Bokan_Series__Time_Patroltai_Otasukeman
Tetsuwan Atom (1980)	TV	52	1980-10-01 00:00:00	7.22	https://myanimelist.net/anime/3044/Tetsuwan_Atom_1980
Cyborg 009: Chou Ginga Densetsu	Movie	1	1980-12-20 00:00:00	6.50	https://myanimelist.net/anime/7336/Cyborg_009__Chou_Ginga_Densetsu
Time Bokan Series: Yattodetaman	TV	52	1981-02-07 00:00:00	6.54	https://myanimelist.net/anime/4154/Time_Bokan_Series__Yattodetaman
Dr. Slump: Arale-chan	TV	243	1981-04-08 00:00:00	7.23	https://myanimelist.net/anime/2222/Dr_Slump__Arale-chan
Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima	Movie	1	1981-07-18 00:00:00	6.52	https://myanimelist.net/anime/7666/Dr_Slump_Movie_01__Arale-chan_Hello_Fushigi_Shima
Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack	Special	1	1981-07-25 00:00:00	6.13	https://myanimelist.net/anime/30453/Dr_Slump__Arale-chan_Ayaya_Penguin_Mura_de_TV_Jack
Dr. Slump: Arale-chan Specials	Special	2	1981-10-07 00:00:00	6.31	https://myanimelist.net/anime/28369/Dr_Slump__Arale-chan_Specials
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu	Special	1	1982-01-02 00:00:00	6.41	https://myanimelist.net/anime/28371/Dr_Slump__Arale-chan_-_Penguin_Mura_Eiyuu_Densetsu
Time Bokan Series: Gyakuten Ippatsuman	TV	58	1982-02-13 00:00:00	6.11	https://myanimelist.net/anime/8011/Time_Bokan_Series__Gyakuten_Ippatsuman
Dr. Slump Movie 02: "Hoyoyo!" Uchuu Daibouken	Movie	1	1982-07-10 00:00:00	6.58	https://myanimelist.net/anime/8546/Dr_Slump_Movie_02__Hoyoyo_Uchuu_Daibouken
Dr. Slump: Arale-chan no Koutsuu Anzen	Special	1	1983	5.85	https://myanimelist.net/anime/30420/Dr_Slump__Arale-chan_no_Koutsuu_Anzen
Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race	Movie	1	1983-03-13 00:00:00	6.34	https://myanimelist.net/anime/7667/Dr_Slump_Movie_03__Arale-chan_Hoyoyo_Sekai_Isshuu_Dai_Race
Kinnikuman	TV	137	1983-04-03 00:00:00	7.30	https://myanimelist.net/anime/3272/Kinnikuman
Time Bokan Series: Itadakiman	TV	20	1983-04-09 00:00:00	6.11	https://myanimelist.net/anime/5344/Time_Bokan_Series__Itadakiman
Golgo 13	Movie	1	1983-05-28 00:00:00	6.84	https://myanimelist.net/anime/1760/Golgo_13
Dr. Slump: Arale-chan - Penguin Mura no Shouboutai	Special	1	1984	6.01	https://myanimelist.net/anime/34878/Dr_Slump__Arale-chan_-_Penguin_Mura_no_Shouboutai
Lupin III: Part III	TV	50	1984-03-03 00:00:00	7.41	https://myanimelist.net/anime/1426/Lupin_III__Part_III
God Mazinger	TV	23	1984-04-05 00:00:00	6.63	https://myanimelist.net/anime/5250/God_Mazinger
Kinnikuman: Kessen! Shichinin no Seigi Choujin vs. Uchuu Nobushi	Special	1	1984-07-04 00:00:00	6.48	https://myanimelist.net/anime/3280/Kinnikuman__Kessen_Shichinin_no_Seigi_Choujin_vs_Uchuu_Nobushi
Kinnikuman (Movie)	Movie	1	1984-07-14 00:00:00	6.56	https://myanimelist.net/anime/3273/Kinnikuman_Movie
Kinnikuman: Ooabare! Seigi Choujin	Movie	1	1984-12-22 00:00:00	6.43	https://myanimelist.net/anime/3274/Kinnikuman__Ooabare_Seigi_Choujin
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou	Movie	1	1984-12-22 00:00:00	6.53	https://myanimelist.net/anime/6028/Dr_Slump_Movie_04__Arale-chan_Hoyoyo_Nanaba_Shiro_no_Hihou
Kinnikuman: Seigi Choujin vs. Kodai Choujin	Movie	1	1985-03-16 00:00:00	6.38	https://myanimelist.net/anime/3275/Kinnikuman__Seigi_Choujin_vs_Kodai_Choujin
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin	Movie	1	1985-07-13 00:00:00	6.38	https://myanimelist.net/anime/3276/Kinnikuman__Gyakushuu_Uchuu_Kakure_Choujin
Lupin III: Babylon no Ougon Densetsu	Movie	1	1985-07-13 00:00:00	6.70	https://myanimelist.net/anime/1433/Lupin_III__Babylon_no_Ougon_Densetsu
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis	Movie	1	1985-07-13 00:00:00	6.32	https://myanimelist.net/anime/8547/Dr_Slump_Movie_05__Arale-chan_Hoyoyo_Yume_no_Miyako_Mechapolis
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special	Special	1	1985-11-23 00:00:00	6.79	https://myanimelist.net/anime/3546/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo__Jump_Festa_Special
Kinnikuman: Haresugata! Seigi Choujin	Movie	1	1985-12-21 00:00:00	6.25	https://myanimelist.net/anime/3277/Kinnikuman__Haresugata_Seigi_Choujin
Dragon Ball	TV	153	1986-02-26 00:00:00	8.13	https://myanimelist.net/anime/223/Dragon_Ball
Kinnikuman: New York Kiki Ippatsu!	Movie	1	1986-03-15 00:00:00	6.34	https://myanimelist.net/anime/3278/Kinnikuman__New_York_Kiki_Ippatsu
Violence Jack: Harlem Bomber-hen	OVA	1	1986-06-05 00:00:00	5.33	https://myanimelist.net/anime/1341/Violence_Jack__Harlem_Bomber-hen
Kinnikuman: Seigi Choujin vs. Senshi Choujin	Movie	1	1986-12-20 00:00:00	6.39	https://myanimelist.net/anime/3279/Kinnikuman__Seigi_Choujin_vs_Senshi_Choujin
Dragon Ball Movie 1: Shen Long no Densetsu	Movie	1	1986-12-20 00:00:00	6.97	https://myanimelist.net/anime/502/Dragon_Ball_Movie_1__Shen_Long_no_Densetsu
Dragon Ball Movie 2: Majinjou no Nemurihime	Movie	1	1987-07-18 00:00:00	6.93	https://myanimelist.net/anime/891/Dragon_Ball_Movie_2__Majinjou_no_Nemurihime
Devilman: Tanjou-hen	OVA	1	1987-11-01 00:00:00	7.19	https://myanimelist.net/anime/2354/Devilman__Tanjou-hen
Lupin III: Fuuma Ichizoku no Inbou	Movie	1	1987-12-26 00:00:00	7.33	https://myanimelist.net/anime/1432/Lupin_III__Fuuma_Ichizoku_no_Inbou
Tatakae!! Ramenman	TV	35	1988-01-10 00:00:00	6.59	https://myanimelist.net/anime/4427/Tatakae_Ramenman
Dragon Ball Specials	Special	2	1988-06-08 00:00:00	6.87	https://myanimelist.net/anime/2520/Dragon_Ball_Specials
Tatakae!! Ramenman (Movie)	Movie	1	1988-07-09 00:00:00	6.00	https://myanimelist.net/anime/16728/Tatakae_Ramenman_Movie
Dragon Ball Movie 3: Makafushigi Daibouken	Movie	1	1988-07-09 00:00:00	7.01	https://myanimelist.net/anime/892/Dragon_Ball_Movie_3__Makafushigi_Daibouken
Violence Jack: Jigoku Gai-hen	OVA	1	1988-12-06 00:00:00	5.65	https://myanimelist.net/anime/1342/Violence_Jack__Jigoku_Gai-hen
