name	media type	episode count	dates aired	rating
Triangle Heart: Sazanami Joshi Ryo	OVA	5	2000-08-28 00:00:00	5.52
Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box	
Episodes:
  1
  	1	2001-06-29 00:00:00	5.82
Triangle Heart: Sweet Songs Forever	OVA	4	2003-07-24 00:00:00	6.23
Shingetsutan Tsukihime	TV	12	2003-10-10 00:00:00	7.00
Mahou Shoujo Lyrical Nanoha	TV	13	2004-10-03 00:00:00	7.47
Mahou Shoujo Lyrical Nanoha A's	TV	13	2005-10-02 00:00:00	8.04
Fate/stay night	TV	24	2006-01-07 00:00:00	7.48
Mahou Shoujo Lyrical Nanoha StrikerS	TV	26	2007-04-02 00:00:00	7.70
Kara no Kyoukai 1: Fukan Fuukei	Movie	1	2007-12-01 00:00:00	7.71
Kara no Kyoukai: Manner Movies	Movie	7	2007-12-01 00:00:00	6.45
Kara no Kyoukai 2: Satsujin Kousatsu (Zen)	Movie	1	2007-12-29 00:00:00	7.92
Kara no Kyoukai 3: Tsuukaku Zanryuu	Movie	1	2008-02-09 00:00:00	8.13
Kara no Kyoukai 4: Garan no Dou	Movie	1	2008-05-24 00:00:00	7.97
Kara no Kyoukai 5: Mujun Rasen	Movie	1	2008-08-16 00:00:00	8.60
Kara no Kyoukai 6: Boukyaku Rokuon	Movie	1	2008-12-20 00:00:00	7.61
Kara no Kyoukai Remix: Gate of Seventh Heaven	Movie	1	2009-03-14 00:00:00	7.66
Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Movie	1	2009-08-08 00:00:00	8.48
Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Movie	1	2009-08-08 00:00:00	8.48
Fate/stay night TV Reproduction	OVA	2	2010-01-17 00:00:00	6.97
Fate/stay night Movie: Unlimited Blade Works	Movie	1	2010-01-23 00:00:00	7.50
Mahou Shoujo Lyrical Nanoha: The Movie 1st	Movie	1	2010-01-23 00:00:00	7.96
Kara no Kyoukai 8: Shuushou	Special	1	2011-02-02 00:00:00	7.24
Carnival Phantasm	OVA	12	2011-08-14 00:00:00	7.95
Fate/Zero	TV	13	2011-10-02 00:00:00	8.41
Carnival Phantasm: Illya-jou	Special	1	2011-10-28 00:00:00	6.99
Carnival Phantasm EX Season	OVA	1	2011-11-26 00:00:00	7.53
Fate/Prototype	OVA	1	2011-12-31 00:00:00	6.85
Fate/Zero: Onegai! Einzbern Soudanshitsu	Special	6	2012-03-07 00:00:00	6.72
Fate/Zero Remix	Special	2	2012-03-25 00:00:00	7.17
Fate/Zero 2nd Season	TV	12	2012-04-08 00:00:00	8.63
Carnival Phantasm: HibiChika Special	Special	1	2012-07-07 00:00:00	7.41
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's	Movie	1	2012-07-14 00:00:00	8.24
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama	Special	2	2013-03-22 00:00:00	6.12
Fate/kaleid liner Prisma☆Illya	TV	10	2013-07-13 00:00:00	7.21
Fate/Zero Cafe	Movie	2	2013-07-13 00:00:00	5.95
Fate/kaleid liner Prisma☆Illya Specials	Special	5	2013-09-27 00:00:00	6.87
Kara no Kyoukai: Mirai Fukuin	Movie	1	2013-09-28 00:00:00	8.07
Kara no Kyoukai: Mirai Fukuin - Extra Chorus	Special	1	2013-09-28 00:00:00	7.53
Kara no Kyoukai: Mirai Fukuin - Manner Movie	Movie	1	2013-09-28 00:00:00	6.14
Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!	OVA	1	2014-03-10 00:00:00	6.80
Fate/kaleid liner Prisma☆Illya 2wei!	TV	10	2014-07-10 00:00:00	7.40
Fate/kaleid liner Prisma☆Illya 2wei! Specials	Special	5	2014-09-26 00:00:00	6.97
Mahou Shoujo Lyrical Nanoha Picture Drama	Special	1	2014-10-01 00:00:00	5.95
Fate/stay night: Unlimited Blade Works Prologue	Special	1	2014-10-05 00:00:00	8.19
