name	media type	episode count	dates aired	rating
Monogatari Series: Second Season	TV	26	Jul 7, 2013 to Dec 29, 2013	8.77
Monogatari Series: Second Season	Novel	NULL	NULL	8.87
Monogatari Series: First Season	Novel	NULL	NULL	8.94
Bakemonogatari Short Stories	Novel	NULL	NULL	7.86
Monogatari Series Heroine Hon	Novel	NULL	NULL	7.74
Kimi to Nadekko!	Manga	NULL	NULL	6.30
Nisemonogatari Short Stories	Novel	NULL	NULL	7.63
Monogatari Series: Off Season	Novel	NULL	NULL	8.49
Kizumonogatari II: Nekketsu-hen	Movie	1	Aug 19, 2016	8.67
Kizumonogatari I: Tekketsu-hen	Movie	1	Jan 8, 2016	8.44
Kizumonogatari III: Reiketsu-hen	Movie	1	Jan 6, 2017	8.85
Nekomonogatari: Kuro	TV	4	Dec 31, 2012	8.03
Bakemonogatari	TV	15	Jul 3, 2009 to Jun 25, 2010	8.35
Bakemonogatari Recap	Special	1	Aug 7, 2009	7.37
Nisemonogatari	TV	11	Jan 8, 2012 to Mar 18, 2012	8.20
Monogatari Series: Second Season	TV	26	Jul 7, 2013 to Dec 29, 2013	8.77
Tsukimonogatari	TV	4	Dec 31, 2014	8.19
Monogatari Series: Final Season	Novel	NULL	NULL	8.82
Okitegami Kyouko no Bibouroku x Monogatari	ONA	1	Dec 31, 2014	5.77
Boukyaku Tantei Series	Novel	NULL	NULL	7.99
Okitegami Kyouko no Bibouroku	Manga	NULL	NULL	7.63
Owarimonogatari	TV	12	Oct 4, 2015 to Dec 20, 2015	8.46
Owarimonogatari 2nd Season	TV	7	Aug 12, 2017 to Aug 13, 2017	8.97
Koyomimonogatari	ONA	12	Jan 10, 2016 to Mar 27, 2016	7.76
Owarimonogatari 2nd Season Recaps	Special	2	Aug 12, 2017 to Aug 13, 2017	7.85
Zoku Owarimonogatari	Movie	1	Nov 10, 2018	8.65
Hanamonogatari	TV	5	Aug 16, 2014	8.06
Monogatari Series: Monster Season	Novel	NULL	NULL	8.66
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin	Movie	4	Oct 26, 2013	6.33
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Movie	1	Oct 26, 2013	8.45
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari	Manga	NULL	NULL	8.17
Mahou Shoujo Madoka★Magica: Majuu-hen	Manga	NULL	NULL	7.82
Mahou Shoujo Madoka★Magica	Manga	NULL	NULL	8.16
Mahou Shoujo Madoka★Magica	Novel	NULL	NULL	8.18
Mahou Shoujo Madoka★Magica	TV	12	Jan 7, 2011 to Apr 22, 2011	8.43
Mahou Shoujo Sonico★Magica	ONA	1	Apr 1, 2011	5.86
SoniAni: Super Sonico The Animation	TV	12	Jan 6, 2014 to Mar 24, 2014	6.18
Ultrasonico	ONA	1	Apr 1, 2017	5.17
Mahou Shoujo Madoka★Magica: Concept Movie	Movie	1	Nov 27, 2015	7.15
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	Movie	1	Oct 6, 2012	8.25
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Movie	1	Oct 13, 2012	8.42
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden PV	Special	Unknown	Sep 30, 2016 to ?	6.21
Mahou Shoujo Kazumi★Magica: The Innocent Malice	Manga	NULL	NULL	7.15
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden	TV	Unknown	2019 to ?	N/A
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden	Manga	NULL	NULL	1
Mahou Shoujo Madoka★Magica: The Different Story	Manga	NULL	NULL	8.21
Mahou Shoujo Oriko★Magica	Manga	NULL	NULL	6.73
Mahou Shoujo Oriko★Magica: Betsu-hen	Manga	NULL	NULL	6.89
[Shinyaku] Mahou Shoujo Oriko★Magica: Sadness Prayer	Manga	NULL	NULL	6.87
Mahou Shoujo Suzune★Magica	Manga	NULL	NULL	6.80
Mahou Shoujo Homura★Tamura: Heikou Sekai ga Itsumo Heikou de Aru to wa Kagiranai no da.	Manga	NULL	NULL	7.73
Mahou Shoujo-bu Madoka★Magica	Manga	NULL	NULL	6.92
Mahou Shoujo Tart★Magica: The Legend of "Jeanne d'Arc"	Manga	NULL	NULL	7.47
Tomoe Mami no Heibon na Nichijou	Manga	NULL	NULL	6.00
Mahou Shoujo Madoka★Magica: Homura Revenge!	Manga	NULL	NULL	7.46
Café☆Griefseed e Youkoso!	Manga	NULL	NULL	6.36
Fuwatto Madoka	Manga	NULL	NULL	1
Kaname-ke	Manga	NULL	NULL	1
Sutema!	Manga	NULL	NULL	1
Mitakihara Youchien Mahou-gumi	Manga	NULL	NULL	7.04
Mahou Shoujo Madoka★Magica: Anthology Comic	Manga	NULL	NULL	7.49
Naisho no Hanashi	
Episodes:
  1
  	1	Feb 1, 2012	6.38
Nisekoimonogatari	ONA	1	Apr 1, 2015	6.94
Nisekoi	TV	20	Jan 11, 2014 to May 24, 2014	7.78
Nisekoi	Manga	NULL	NULL	7.80
Koi no Kamisama	Manga	NULL	NULL	7.52
Nisekyuu!!	One-shot	NULL	NULL	6.93
Haikyuu!!	Manga	NULL	NULL	8.76
Haikyuu!!	One-shot	NULL	NULL	7.47
Haikyuu!! Shousetsu-ban!!	Novel	NULL	NULL	7.55
Let's! Haikyuu!?	Manga	NULL	NULL	7.69
Haikyuu-bu!!	Manga	NULL	NULL	7.31
Haikyuu!! Movie 1: Owari to Hajimari	Movie	1	Jul 3, 2015	8.04
Haikyuu!!	TV	25	Apr 6, 2014 to Sep 21, 2014	8.64
Haikyuu!!: Lev Genzan!	OVA	1	Mar 4, 2015	7.84
Haikyuu!! Second Season	TV	25	Oct 4, 2015 to Mar 27, 2016	8.85
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou	TV	10	Oct 8, 2016 to Dec 10, 2016	8.97
Haikyuu!! Movie 4: Concept no Tatakai	Movie	1	Sep 29, 2017	8.18
Haikyuu!! Movie 3: Sainou to Sense	Movie	1	Sep 15, 2017	8.18
Haikyuu!! Movie 2: Shousha to Haisha	Movie	1	Sep 18, 2015	8.02
