name	media type	episode count	dates aired	rating	url
Versailles no Bara	TV	40	1979-10-10 00:00:00	8.37	https://myanimelist.net/anime/338/Versailles_no_Bara
Versailles no Bara to Onna-tachi	Special	1	1980-09-10 00:00:00	7.30	https://myanimelist.net/anime/7861/Versailles_no_Bara_to_Onna-tachi
Dominion	OVA	4	1988-05-27 00:00:00	7.01	https://myanimelist.net/anime/1151/Dominion
Versailles no Bara: Seimei Aru Kagiri Aishite	Movie	1	1990-05-19 00:00:00	7.08	https://myanimelist.net/anime/3868/Versailles_no_Bara__Seimei_Aru_Kagiri_Aishite
New Dominion Tank Police	OVA	6	1993-10-20 00:00:00	7.02	https://myanimelist.net/anime/1152/New_Dominion_Tank_Police
Koukaku Kidoutai	Movie	1	1995-11-18 00:00:00	8.34	https://myanimelist.net/anime/43/Koukaku_Kidoutai
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin	Movie	1	1996-12-14 00:00:00	7.15	https://myanimelist.net/anime/2077/Kindaichi_Shounen_no_Jikenbo_Movie_1__Operazakan_-_Aratanaru_Satsujin
Kindaichi Shounen no Jikenbo	TV	148	1997-04-07 00:00:00	8.10	https://myanimelist.net/anime/2076/Kindaichi_Shounen_no_Jikenbo
Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken	Special	1	1997-04-27 00:00:00	6.80	https://myanimelist.net/anime/21701/Kindaichi_Shounen_no_Jikenbo__Shinigami_Byouin_Satsujin_Jiken
Kindaichi Shounen no Jikenbo Movie 2: Satsuriku no Deep Blue	Movie	1	1999-08-21 00:00:00	7.10	https://myanimelist.net/anime/9154/Kindaichi_Shounen_no_Jikenbo_Movie_2__Satsuriku_no_Deep_Blue
Koukaku Kidoutai: Stand Alone Complex	TV	26	2002-10-01 00:00:00	8.46	https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
