name	media type	episode count	dates aired	rating	url
Rurouni Kenshin: Meiji Kenkaku Romantan	TV	94	1996-01-10 00:00:00	8.38	https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Rurouni Kenshin: Review Special	Special	1	1997-03-26 00:00:00	6.97	https://myanimelist.net/anime/9716/Rurouni_Kenshin__Review_Special
Rurouni Kenshin: Special Techniques	Special	1	1997-10-21 00:00:00	7.34	https://myanimelist.net/anime/4664/Rurouni_Kenshin__Special_Techniques
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka	Movie	1	1997-12-20 00:00:00	7.62	https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
Rurouni Kenshin Special	Special	1	1998-12-02 00:00:00	7.42	https://myanimelist.net/anime/12067/Rurouni_Kenshin_Special
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	OVA	4	1999-02-20 00:00:00	8.77	https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen	OVA	2	2001-12-03 00:00:00	8.05	https://myanimelist.net/anime/401/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen
Rurouni Kenshin DVD-BOX Special Ending	Special	1	2007	7.87	https://myanimelist.net/anime/6591/Rurouni_Kenshin_DVD-BOX_Special_Ending
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen	OVA	2	2011-12-17 00:00:00	7.16	https://myanimelist.net/anime/11441/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Shin_Kyoto-hen
Rurouni Kenshin Recap	Special	1	Jul, 1997	7.36	https://myanimelist.net/anime/10334/Rurouni_Kenshin_Recap
