name	media type	episode count	dates aired	rating	url
Rurouni Kenshin: Meiji Kenkaku Romantan	TV	94	1996-01-10 00:00:00	8.38	https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Rurouni Kenshin: Review Special	Special	1	1997-03-26 00:00:00	6.97	https://myanimelist.net/anime/9716/Rurouni_Kenshin__Review_Special
Rurouni Kenshin: Special Techniques	Special	1	1997-10-21 00:00:00	7.34	https://myanimelist.net/anime/4664/Rurouni_Kenshin__Special_Techniques
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka	Movie	1	1997-12-20 00:00:00	7.62	https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
Rurouni Kenshin Special	Special	1	1998-12-02 00:00:00	7.42	https://myanimelist.net/anime/12067/Rurouni_Kenshin_Special
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	OVA	4	1999-02-20 00:00:00	8.77	https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen	OVA	2	2001-12-03 00:00:00	8.05	https://myanimelist.net/anime/401/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen
Rurouni Kenshin DVD-BOX Special Ending	Special	1	2007	7.87	https://myanimelist.net/anime/6591/Rurouni_Kenshin_DVD-BOX_Special_Ending
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen	OVA	2	2011-12-17 00:00:00	7.16	https://myanimelist.net/anime/11441/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Shin_Kyoto-hen
Sobakasu	
Episodes:
  1
  	1	2015-08-25 00:00:00	5.86	https://myanimelist.net/anime/37537/Sobakasu
Rurouni Kenshin Recap	Special	1	Jul, 1997	7.36	https://myanimelist.net/anime/10334/Rurouni_Kenshin_Recap
Rurouni Kenshin: Meiji Kenkaku Romantan	Manga	NULL	NULL	8.67	https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Rurouni Kenshin: Haru ni Sakura	One-shot	NULL	NULL	7.61	https://myanimelist.net/manga/9271/Rurouni_Kenshin__Haru_ni_Sakura
Rurouni Kenshin: Yahiko no Sakabatou	One-shot	NULL	NULL	7.64	https://myanimelist.net/manga/2333/Rurouni_Kenshin__Yahiko_no_Sakabatou
Rurouni Kenshin: Meiji Kenkaku Romantan - Hokkaido-hen	Manga	NULL	NULL	7.46	https://myanimelist.net/manga/105837/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Hokkaido-hen
Rurouni Kenshin: Voyage to the Moon World	Novel	NULL	NULL	7.53	https://myanimelist.net/manga/4795/Rurouni_Kenshin__Voyage_to_the_Moon_World
Rurouni Kenshin: Yahiko's Battle	Novel	NULL	NULL	7.84	https://myanimelist.net/manga/29733/Rurouni_Kenshin__Yahikos_Battle
Rurouni Kenshin Uramaku: Honoo wo Suberu	Manga	NULL	NULL	7.53	https://myanimelist.net/manga/73397/Rurouni_Kenshin_Uramaku__Honoo_wo_Suberu
Rurouni Kenshin: Tokuhitsuban	Manga	NULL	NULL	7.37	https://myanimelist.net/manga/37303/Rurouni_Kenshin__Tokuhitsuban
