name	media type	episode count	dates aired	rating
Suzumiya Haruhi no Shoushitsu	Movie	1	Feb 6, 2010	8.69
Suzumiya Haruhi Series	Novel	NULL	NULL	8.62
Suzumiya Haruhi no Yuuutsu	Manga	NULL	NULL	7.78
Suzumiya Haruhi no Yuuutsu	Manga	NULL	NULL	7.79
Suzumiya Haruhi-chan no Yuuutsu	Manga	NULL	NULL	7.90
Suzumiya Haruhi-chan no Yuuutsu	ONA	25	Feb 14, 2009 to May 8, 2009	7.55
Suzumiya Haruhi no Yuuutsu	TV	14	Apr 3, 2006 to Jul 3, 2006	7.96
Suzumiya Haruhi no Yuuutsu (2009)	TV	14	May 22, 2009 to Sep 11, 2009	7.26
Suzumiya Haruhi no Shoushitsu	Movie	1	Feb 6, 2010	8.69
Nagato Yuki-chan no Shoushitsu	TV	16	Apr 4, 2015 to Jul 18, 2015	6.76
Nagato Yuki-chan no Shoushitsu	Manga	NULL	NULL	7.60
Nagato Yuki-chan no Shoushitsu: Toaru Ichinichi	Novel	NULL	NULL	1
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi	OVA	1	Oct 26, 2015	6.76
Nyoro-n Churuya-san	ONA	13	Feb 13, 2009 to May 8, 2009	6.58
Nyoro-n Churuya-san	Manga	NULL	NULL	7.49
Haruhi Comic Anthology: Kyon to Koizumi no Sainan	Manga	NULL	NULL	6.97
Haruhi Comic Anthology	Manga	NULL	NULL	7.20
Ore no Class ni Haruhi wa Inai	Novel	NULL	NULL	1
Suzumiya Haruhi no Hiwa: Rainy Day	Novel	NULL	NULL	7.69
Suzumiya Haruhi Series: Atezuppo Numbers	Novel	NULL	NULL	7.62
