name	media type	episode count	dates aired	rating
Suzumiya Haruhi no Yuuutsu	TV	14	2006-04-03 00:00:00	7.96
Nyoro-n Churuya-san	ONA	13	2009-02-13 00:00:00	6.58
Suzumiya Haruhi-chan no Yuuutsu	ONA	25	2009-02-14 00:00:00	7.55
Suzumiya Haruhi no Yuuutsu (2009)	TV	14	2009-05-22 00:00:00	7.26
Suzumiya Haruhi no Shoushitsu	Movie	1	2010-02-06 00:00:00	8.69
Suzumiya Haruhi no Shoushitsu	Movie	1	2010-02-06 00:00:00	8.69
Nagato Yuki-chan no Shoushitsu	TV	16	2015-04-04 00:00:00	6.76
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi	OVA	1	2015-10-26 00:00:00	6.76
Suzumiya Haruhi Series	Novel	NULL	NULL	8.62
Suzumiya Haruhi no Yuuutsu	Manga	NULL	NULL	7.78
Suzumiya Haruhi no Yuuutsu	Manga	NULL	NULL	7.79
Suzumiya Haruhi-chan no Yuuutsu	Manga	NULL	NULL	7.90
Nagato Yuki-chan no Shoushitsu	Manga	NULL	NULL	7.60
Nagato Yuki-chan no Shoushitsu: Toaru Ichinichi	Novel	NULL	NULL	1
Nyoro-n Churuya-san	Manga	NULL	NULL	7.49
Haruhi Comic Anthology: Kyon to Koizumi no Sainan	Manga	NULL	NULL	6.97
Haruhi Comic Anthology	Manga	NULL	NULL	7.20
Ore no Class ni Haruhi wa Inai	Novel	NULL	NULL	1
Suzumiya Haruhi no Hiwa: Rainy Day	Novel	NULL	NULL	7.69
Suzumiya Haruhi Series: Atezuppo Numbers	Novel	NULL	NULL	7.62
