name	media type	episode count	dates aired	rating
Momoya Norihei Anime CM	Special	120	1958 to 2012	4.27
Tetsuwan Atom	TV	193	1963-01-01 00:00:00	7.24
Tetsuwan Atom: Uchuu no Yuusha	Movie	1	1964-07-26 00:00:00	6.45
Cyborg 009	Movie	1	1966-07-21 00:00:00	6.21
Cyborg 009: Kaijuu Sensou	Movie	1	1967-03-19 00:00:00	6.09
Cyborg 009 (TV)	TV	26	1968-04-05 00:00:00	7.05
Lupin III: Pilot Film	Movie	1	1969	6.48
Hakushon Daimaou	TV	52	1969-10-05 00:00:00	6.11
Lupin III	TV	23	1971-10-24 00:00:00	7.72
Devilman	TV	39	1972-07-08 00:00:00	6.46
Kagaku Ninja-tai Gatchaman	TV	105	1972-10-01 00:00:00	7.05
Mazinger Z	TV	92	1972-12-03 00:00:00	7.41
Mazinger Z tai Devilman	Movie	1	1973-07-18 00:00:00	6.18
Shinzou Ningen Casshern	TV	35	1973-10-02 00:00:00	6.88
Cutey Honey	TV	25	1973-10-13 00:00:00	6.54
Getter Robo	TV	51	1974-04-04 00:00:00	6.94
Mazinger Z tai Ankoku Daishougun	Movie	1	1974-07-25 00:00:00	6.76
Great Mazinger	TV	56	1974-09-08 00:00:00	7.25
Hurricane Polymar	TV	26	1974-10-04 00:00:00	6.66
Great Mazinger tai Getter Robo	Movie	1	1975-03-21 00:00:00	6.31
Getter Robo G	TV	39	1975-05-15 00:00:00	6.72
Uchuu no Kishi Tekkaman	TV	26	1975-07-02 00:00:00	6.34
Uchuu Enban Dai-Sensou	Movie	1	1975-07-21 00:00:00	5.79
Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu	Movie	1	1975-07-26 00:00:00	6.33
Time Bokan	TV	61	1975-10-04 00:00:00	6.63
UFO Robo Grendizer	TV	74	1975-10-05 00:00:00	7.65
Koutetsu Jeeg	TV	46	1975-10-05 00:00:00	7.22
UFO Robo Grendizer tai Great Mazinger	Movie	1	1976-03-20 00:00:00	6.60
Time Bokan Series: Yatterman	TV	108	1977-01-01 00:00:00	6.74
Lupin III: Part II	TV	155	1977-10-03 00:00:00	7.86
Kagaku Ninja-tai Gatchaman (Movie)	Movie	1	1978-07-15 00:00:00	6.25
Kagaku Ninja-tai Gatchaman II	TV	52	1978-10-01 00:00:00	6.50
Lupin III: Pilot Film (1978)	OVA	1	1978-12-16 00:00:00	6.41
Lupin III: Lupin vs. Fukusei-ningen	Movie	1	1978-12-16 00:00:00	7.05
Time Bokan Series: Zenderman	TV	52	1979-02-03 00:00:00	6.11
Cyborg 009 (1979)	TV	50	1979-03-06 00:00:00	7.25
Kagaku Ninja-tai Gatchaman F	TV	48	1979-10-07 00:00:00	6.49
Lupin III: Cagliostro no Shiro	Movie	1	1979-12-15 00:00:00	8.18
Time Bokan Series: Time Patroltai Otasukeman	TV	53	1980-02-02 00:00:00	6.41
Tetsuwan Atom (1980)	TV	52	1980-10-01 00:00:00	7.22
Cyborg 009: Chou Ginga Densetsu	Movie	1	1980-12-20 00:00:00	6.50
Time Bokan Series: Yattodetaman	TV	52	1981-02-07 00:00:00	6.54
Dr. Slump: Arale-chan	TV	243	1981-04-08 00:00:00	7.23
Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima	Movie	1	1981-07-18 00:00:00	6.52
Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack	Special	1	1981-07-25 00:00:00	6.13
Dr. Slump: Arale-chan Specials	Special	2	1981-10-07 00:00:00	6.31
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu	Special	1	1982-01-02 00:00:00	6.41
Time Bokan Series: Gyakuten Ippatsuman	TV	58	1982-02-13 00:00:00	6.11
Dr. Slump Movie 02: "Hoyoyo!" Uchuu Daibouken	Movie	1	1982-07-10 00:00:00	6.58
Dr. Slump: Arale-chan no Koutsuu Anzen	Special	1	1983	5.85
Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race	Movie	1	1983-03-13 00:00:00	6.34
Kinnikuman	TV	137	1983-04-03 00:00:00	7.31
Time Bokan Series: Itadakiman	TV	20	1983-04-09 00:00:00	6.11
Golgo 13	Movie	1	1983-05-28 00:00:00	6.84
Dr. Slump: Arale-chan - Penguin Mura no Shouboutai	Special	1	1984	6.01
Lupin III: Part III	TV	50	1984-03-03 00:00:00	7.41
God Mazinger	TV	23	1984-04-05 00:00:00	6.65
Kinnikuman: Kessen! Shichinin no Seigi Choujin vs. Uchuu Nobushi	Special	1	1984-07-04 00:00:00	6.48
Kinnikuman (Movie)	Movie	1	1984-07-14 00:00:00	6.56
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou	Movie	1	1984-12-22 00:00:00	6.53
Kinnikuman: Ooabare! Seigi Choujin	Movie	1	1984-12-22 00:00:00	6.43
Kinnikuman: Seigi Choujin vs. Kodai Choujin	Movie	1	1985-03-16 00:00:00	6.38
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis	Movie	1	1985-07-13 00:00:00	6.32
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin	Movie	1	1985-07-13 00:00:00	6.38
Lupin III: Babylon no Ougon Densetsu	Movie	1	1985-07-13 00:00:00	6.70
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special	Special	1	1985-11-23 00:00:00	6.79
Kinnikuman: Haresugata! Seigi Choujin	Movie	1	1985-12-21 00:00:00	6.25
Dragon Ball	TV	153	1986-02-26 00:00:00	8.13
Kinnikuman: New York Kiki Ippatsu!	Movie	1	1986-03-15 00:00:00	6.35
Violence Jack: Harlem Bomber-hen	OVA	1	1986-06-05 00:00:00	5.33
Dragon Ball Movie 1: Shen Long no Densetsu	Movie	1	1986-12-20 00:00:00	6.97
Kinnikuman: Seigi Choujin vs. Senshi Choujin	Movie	1	1986-12-20 00:00:00	6.39
Dragon Ball Movie 2: Majinjou no Nemurihime	Movie	1	1987-07-18 00:00:00	6.93
Devilman: Tanjou-hen	OVA	1	1987-11-01 00:00:00	7.19
