name	media type	episode count	dates aired	rating
Kino no Tabi: The Beautiful World	TV	13	2003-04-08 00:00:00	8.40
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.	Movie	1	2005-02-19 00:00:00	7.83
Shakugan no Shana	TV	24	2005-10-06 00:00:00	7.62
Kino no Tabi: The Beautiful World - Tou no Kuni	Special	1	2005-10-19 00:00:00	7.64
Shakugan no Shana Specials	Special	4	2006-01-25 00:00:00	7.17
Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako!	Special	8	2006-01-25 00:00:00	6.77
Shinigami no Ballad.	TV	6	2006-03-03 00:00:00	6.98
Inukami!	TV	26	2006-04-06 00:00:00	7.33
Shakugan no Shana: Naze Nani Shana! Nandemo Shitsumonbako! Special	Special	3	2006-10-27 00:00:00	6.36
Shakugan no Shana SP: Koi to Onsen no Kougai Gakushuu!	OVA	1	2006-12-08 00:00:00	7.24
Shakugan no Shana: Shana & Yuuji no Naze Nani Shana! Nandemo Shitsumon-bako!	Special	1	2007-04-04 00:00:00	6.52
Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!	Movie	1	2007-04-21 00:00:00	7.12
Dengeki Bunko 2007 Movie Festival Special	Special	1	2007-04-21 00:00:00	6.26
Shakugan no Shana Movie	Movie	1	2007-04-21 00:00:00	7.43
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You	Movie	1	2007-04-21 00:00:00	7.76
Shakugan no Shana Movie Special	Special	1	2007-09-21 00:00:00	7.20
Shakugan no Shana II (Second)	TV	24	2007-10-05 00:00:00	7.69
Shakugan no Shana II (Second) Specials	Special	3	2008-01-25 00:00:00	7.28
Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2	Special	8	2008-01-25 00:00:00	6.61
Toradora!	TV	25	2008-10-02 00:00:00	8.37
Toradora!	TV	25	2008-10-02 00:00:00	8.37
Toaru Majutsu no Index	TV	24	2008-10-05 00:00:00	7.58
Toradora!: SOS! Kuishinbou Banbanzai	Special	4	2009-02-03 00:00:00	6.42
Toaru Majutsu no Index-tan	Special	2	2009-02-07 00:00:00	7.04
Asura Cryin'	TV	13	2009-04-02 00:00:00	7.03
Toradora! Recap	OVA	1	2009-04-30 00:00:00	7.63
Asura Cryin' 2	TV	13	2009-10-01 00:00:00	7.38
Toaru Kagaku no Railgun	TV	24	2009-10-03 00:00:00	7.81
Shakugan no Shana S	OVA	4	2009-10-23 00:00:00	7.43
Shakugan no Shana S Specials	Special	4	2009-10-23 00:00:00	6.97
Toaru Kagaku no Railgun: Motto Marutto Railgun	Special	2	2010-01-29 00:00:00	6.92
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.	OVA	1	2010-07-24 00:00:00	6.88
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara	OVA	1	2010-09-26 00:00:00	7.52
Toaru Majutsu no Index II	TV	24	2010-10-08 00:00:00	7.75
Toaru Majutsu no Index-tan II	Special	2	2011-01-26 00:00:00	7.05
Shakugan no Shana III (Final)	TV	24	2011-10-08 00:00:00	7.64
Toradora!: Bentou no Gokui	Special	1	2011-12-21 00:00:00	7.51
Shakugan no Shana III (Final) Specials	Special	2	2012-01-27 00:00:00	7.17
Toaru Majutsu no Index Movie: Endymion no Kiseki	Movie	1	2013-02-23 00:00:00	7.61
Toaru Kagaku no Railgun S	TV	24	2013-04-12 00:00:00	8.11
Toaru Kagaku no Railgun S: Motto Marutto Railgun	Special	2	2013-07-24 00:00:00	7.11
Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari	Special	1	2013-08-28 00:00:00	7.16
Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta	OVA	1	2014-03-25 00:00:00	6.85
Toaru Majutsu no Index 10th Anniversary PV	Special	1	2014-09-10 00:00:00	6.99
Heavy Object	TV	24	2015-10-03 00:00:00	7.36
Dear Brave	
Episodes:
  1
  	1	2015-11-18 00:00:00	6.23
Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku	Special	1	2015-12-05 00:00:00	6.27
Kino no Tabi: The Beautiful World - The Animated Series	TV	12	2017-10-06 00:00:00	7.62
Toaru Majutsu no Index III	TV	26	2018-10-05 00:00:00	6.81
Toaru Majutsu no Index-tan III	Special	2	2018-12-26 00:00:00	6.67
Toaru Kagaku no Railgun 3	TV	Unknown	2019 to ?	N/A
Toaru Kagaku no Accelerator	TV	12	2019-07-12 00:00:00	7.55
Toradora!	Novel	NULL	NULL	8.39
Toradora!	Manga	NULL	NULL	8.11
Toradora Spin-off!	Novel	NULL	NULL	7.87
Dengeki Bunkoyomi	Novel	NULL	NULL	7.30
Shinigami no Ballad.	Novel	NULL	NULL	7.88
Shinigami no Ballad.	Manga	NULL	NULL	7.70
Shinigami no Ballad. Unknown Star's	Novel	NULL	NULL	1
Wizard's Brain	Novel	NULL	NULL	1
Toaru Majutsu no Index	Novel	NULL	NULL	8.46
Toaru Majutsu no Index	Manga	NULL	NULL	7.76
Shinyaku Toaru Majutsu no Index	Novel	NULL	NULL	8.70
Shinyaku Toaru Majutsu no Index SS	Novel	NULL	NULL	7.56
Kamachi Kazuma Toaru Majutsu no Index 10-shuunen: Shokuhou Misaki Figure-hen	Novel	NULL	NULL	7.57
Toaru Majutsu no Index SP	Novel	NULL	NULL	7.63
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun	Manga	NULL	NULL	8.26
Toaru Kagaku no Railgun SS	Novel	NULL	NULL	7.92
Toaru Kagaku no Railgun SS: Dasoku, Mata wa Toaru Jiken no Shuusoku	Novel	NULL	NULL	7.50
Toaru Kagaku no Railgun SS2	Novel	NULL	NULL	7.88
Toaru Kagaku no Railgun: Giten Railgun	Manga	NULL	NULL	7.52
4-koma Koushiki Anthology: Toaru Kagaku no Railgun x Toaru Majutsu no Index	Manga	NULL	NULL	7.56
Toaru Kagaku no Railgun Gaiden: Astral Buddy	Manga	NULL	NULL	7.66
Toaru Majutsu no Index SS	Novel	NULL	NULL	8.11
Toaru Majutsu no Index: Endymion no Kiseki	Manga	NULL	NULL	7.57
Toaru Majutsu no Index: Road to Endymion	Novel	NULL	NULL	7.54
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Accelerator	Manga	NULL	NULL	7.83
Toaru Idol no Accelerator-sama	Manga	NULL	NULL	7.61
Heavy Object	Novel	NULL	NULL	7.86
Heavy Object	Manga	NULL	NULL	6.99
Heavy Object S	Manga	NULL	NULL	7.51
Heavy Object A	Manga	NULL	NULL	7.45
Toaru Majutsu no Heavy na Zashiki Warashi ga Kantan na Satsujinki no Konkatsu Jijou	Novel	NULL	NULL	7.51
Intellectual Village no Zashiki Warashi	Novel	NULL	NULL	7.91
Kantan na Monitor desu	Novel	NULL	NULL	7.45
Kantan na Enquete desu	Novel	NULL	NULL	7.07
Waltraute-san no Konkatsu Jijou	Novel	NULL	NULL	7.33
Mitou Shoukan://Blood Sign	Novel	NULL	NULL	8.37
Toaru Majutsu no Heavy na Zashiki Warashi ga Kantan na Satsujinki no Konkatsu Jijou	Manga	NULL	NULL	7.43
Heavy Object: Dengeki Comic Anthology	Manga	NULL	NULL	1
Toaru Majutsu no Index SS: Necessarius Tokubetsu Hennyuu Shiken-hen	Novel	NULL	NULL	7.52
Toaru Majutsu no Index SS: Norse Mythology	Novel	NULL	NULL	7.78
Toaru Majutsu no Index SS: Love Letter Soudatsusen	Novel	NULL	NULL	7.24
Toaru Nichijou no Index-san	Manga	NULL	NULL	7.41
Toaru Majutsu no Indexchu	Doujinshi	NULL	NULL	7.52
Toaru Majutsu no Index x Dennou Senki Virtual-On: Toaru Majutsu no Virtual-On	Novel	NULL	NULL	7.50
Toaru Majutsu no Index x Dennou Senki Virtual-On: Toaru Majutsu no Virtual-On	Manga	NULL	NULL	1
Shiritsu! Sanjuusangen Dougakuin	Novel	NULL	NULL	1
Asura Cryin'	Novel	NULL	NULL	7.34
Asura Cryin'	Manga	NULL	NULL	7.17
Inukami!	Novel	NULL	NULL	7.36
Inukami!	Manga	NULL	NULL	7.47
Shakugan no Shana	Novel	NULL	NULL	8.13
Shakugan no Shana	Manga	NULL	NULL	7.72
Shakugan no Shana X: Eternal Song - Harukanaru Uta	Manga	NULL	NULL	7.94
Shakugan no Shana Zero	Novel	NULL	NULL	7.62
Shakugan no Shana S	Novel	NULL	NULL	7.58
Shakugan no Shana: Reshuffle	Novel	NULL	NULL	7.79
Shakugan no Shana: Ballroom	Novel	NULL	NULL	1
Kino no Tabi: The Beautiful World	Novel	NULL	NULL	8.67
Gakuen Kino	Novel	NULL	NULL	8.03
Gakuen Kino	Manga	NULL	NULL	8.06
Kino no Tabi: The Beautiful World	Manga	NULL	NULL	8.12
Kino no Tabi: The Beautiful World	Manga	NULL	NULL	8.10
Kirin wa Ichizu ni Koi wo Suru	Novel	NULL	NULL	1
Kieli	Novel	NULL	NULL	8.13
Kieli: Shisha-tachi wa Kouya ni Nemuru	Manga	NULL	NULL	8.02
Resin Cast Milk	Novel	NULL	NULL	1
Rejimiru.	Novel	NULL	NULL	1
Sora no Kane no Hibiku Hoshi de	Novel	NULL	NULL	1
Kino no Tabi: The Beautiful World - The Animated Series - Haikyo no Kuni - On Your Way	Special	27	Not available	6.09
