name	media type	episode count	dates aired	rating	url
Wish	
Episodes:
  1
  	1	1997-12-17 00:00:00	6.67	https://myanimelist.net/anime/1958/Wish
Tsubasa Chronicle	TV	26	2005-04-09 00:00:00	7.62	https://myanimelist.net/anime/177/Tsubasa_Chronicle
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi	Movie	1	2005-08-20 00:00:00	7.37	https://myanimelist.net/anime/807/Tsubasa_Chronicle__Tori_Kago_no_Kuni_no_Himegimi
xxxHOLiC Movie: Manatsu no Yoru no Yume	Movie	1	2005-08-20 00:00:00	8.01	https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume
xxxHOLiC	TV	24	2006-04-07 00:00:00	8.07	https://myanimelist.net/anime/861/xxxHOLiC
Tsubasa Chronicle 2nd Season	TV	26	2006-04-29 00:00:00	7.67	https://myanimelist.net/anime/969/Tsubasa_Chronicle_2nd_Season
Tsubasa: Tokyo Revelations	OVA	3	2007-11-16 00:00:00	8.38	https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
xxxHOLiC Kei	TV	13	2008-04-04 00:00:00	8.29	https://myanimelist.net/anime/3091/xxxHOLiC_Kei
xxxHOLiC Shunmuki	OVA	2	2009-02-17 00:00:00	8.13	https://myanimelist.net/anime/4918/xxxHOLiC_Shunmuki
Tsubasa: Shunraiki	OVA	2	2009-03-17 00:00:00	8.19	https://myanimelist.net/anime/4938/Tsubasa__Shunraiki
xxxHOLiC Rou	OVA	2	2010-04-23 00:00:00	8.28	https://myanimelist.net/anime/6864/xxxHOLiC_Rou
Tsubasa: RESERVoir CHRoNiCLE	Manga	NULL	NULL	8.36	https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE
Shiritsu Horitsuba Gakuen	Manga	NULL	NULL	7.72	https://myanimelist.net/manga/14368/Shiritsu_Horitsuba_Gakuen
xxxHOLiC	Manga	NULL	NULL	8.42	https://myanimelist.net/manga/10/xxxHOLiC
K-Dash	Doujinshi	NULL	NULL	7.06	https://myanimelist.net/manga/16010/K-Dash
Drug & Drop	Manga	NULL	NULL	7.71	https://myanimelist.net/manga/32037/Drug___Drop
Gohou Drug	Manga	NULL	NULL	7.52	https://myanimelist.net/manga/108/Gohou_Drug
Wish	Manga	NULL	NULL	7.51	https://myanimelist.net/manga/109/Wish
xxxHOLiC: AnotherHOLiC	Novel	NULL	NULL	7.89	https://myanimelist.net/manga/10183/xxxHOLiC__AnotherHOLiC
xxxHOLiC: Rei	Manga	NULL	NULL	8.28	https://myanimelist.net/manga/46010/xxxHOLiC__Rei
Tsubasa: WoRLD CHRoNiCLE - Niraikanai-hen	Manga	NULL	NULL	7.82	https://myanimelist.net/manga/74339/Tsubasa__WoRLD_CHRoNiCLE_-_Niraikanai-hen
Tsubasa: WoRLD CHRoNiCLE - Niraikanai-hen Shucchouban	Manga	NULL	NULL	7.37	https://myanimelist.net/manga/86232/Tsubasa__WoRLD_CHRoNiCLE_-_Niraikanai-hen_Shucchouban
xxxHOLiC Tokubetsu-hen	One-shot	NULL	NULL	7.39	https://myanimelist.net/manga/94856/xxxHOLiC_Tokubetsu-hen
