name	media type	episode count	dates aired	rating	url
Tsubasa Chronicle	TV	26	2005-04-09 00:00:00	7.62	https://myanimelist.net/anime/177/Tsubasa_Chronicle
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi	Movie	1	2005-08-20 00:00:00	7.37	https://myanimelist.net/anime/807/Tsubasa_Chronicle__Tori_Kago_no_Kuni_no_Himegimi
xxxHOLiC Movie: Manatsu no Yoru no Yume	Movie	1	2005-08-20 00:00:00	8.01	https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume
xxxHOLiC	TV	24	2006-04-07 00:00:00	8.07	https://myanimelist.net/anime/861/xxxHOLiC
Tsubasa Chronicle 2nd Season	TV	26	2006-04-29 00:00:00	7.67	https://myanimelist.net/anime/969/Tsubasa_Chronicle_2nd_Season
Tsubasa: Tokyo Revelations	OVA	3	2007-11-16 00:00:00	8.38	https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
xxxHOLiC Kei	TV	13	2008-04-04 00:00:00	8.29	https://myanimelist.net/anime/3091/xxxHOLiC_Kei
xxxHOLiC Shunmuki	OVA	2	2009-02-17 00:00:00	8.13	https://myanimelist.net/anime/4918/xxxHOLiC_Shunmuki
Tsubasa: Shunraiki	OVA	2	2009-03-17 00:00:00	8.19	https://myanimelist.net/anime/4938/Tsubasa__Shunraiki
xxxHOLiC Rou	OVA	2	2010-04-23 00:00:00	8.28	https://myanimelist.net/anime/6864/xxxHOLiC_Rou
