name	media type	episode count	dates aired	rating
Clannad Movie	Movie	1	2007-09-15 00:00:00	7.31
Clannad	TV	23	2007-10-05 00:00:00	8.18
Clannad: Mou Hitotsu no Sekai, Tomoyo-hen	Special	1	2008-07-16 00:00:00	8.07
Clannad: After Story	TV	24	2008-10-03 00:00:00	8.99
Clannad: After Story	TV	24	2008-10-03 00:00:00	8.99
Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen	Special	1	2009-07-01 00:00:00	7.94
Clannad	Manga	NULL	NULL	7.96
Clannad: Hikaru Mimamoru Sakamichi de	Manga	NULL	NULL	8.08
Clannad 4-koma Manga Gekijyou	Manga	NULL	NULL	7.47
Clannad: Tomoyo After	Manga	NULL	NULL	8.06
Clannad: Tomoyo Dearest	Manga	NULL	NULL	8.02
